run_number,run_date,env,model,gamma,theta,epsilon,alpha,number_iteration,max_step,actual_run,time,score
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,sarsa,0.99,None,0.1,0.1,5,100000,1,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,sarsa,0.99,None,0.1,0.1,5,100000,2,0,0
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,sarsa,0.99,None,0.1,0.1,5,100000,3,0,0
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,sarsa,0.99,None,0.1,0.1,5,100000,4,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,monte_carlo_exploring_starts,0.99,None,None,None,5,100000,0,97,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,monte_carlo_exploring_starts,0.99,None,None,None,5,100000,1,93,3
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,monte_carlo_exploring_starts,0.99,None,None,None,5,100000,2,92,4
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,monte_carlo_exploring_starts,0.99,None,None,None,5,100000,3,95,2
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,monte_carlo_exploring_starts,0.99,None,None,None,5,100000,4,91,2
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,0,240,4
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,1,257,2
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,2,254,5
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,3,245,6
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,4,240,3
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,0,226,6
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,1,231,7
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,2,233,6
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,3,227,6
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,4,228,7
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,Q_learning_off_policy,0.99,None,0.1,0.1,5,100000,0,254,4
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,Q_learning_off_policy,0.99,None,0.1,0.1,5,100000,1,258,5
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,Q_learning_off_policy,0.99,None,0.1,0.1,5,100000,2,270,7
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,Q_learning_off_policy,0.99,None,0.1,0.1,5,100000,3,282,7
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,Q_learning_off_policy,0.99,None,0.1,0.1,5,100000,4,264,4
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,sarsa,0.99,None,0.1,0.1,5,100000,0,226,7
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,sarsa,0.99,None,0.1,0.1,5,100000,1,233,7
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,sarsa,0.99,None,0.1,0.1,5,100000,2,221,7
